"CODIGO";"SEXO";"VALOR";"N";"N_INF";"N_SUP";"TB";"TB_INF";"TB_SUP";"TAM";"TAM_INF";"TAM_SUP";"TAE";"TAE_INF";"TAE_SUP";"TANE";"TANE_INF";"TANE_SUP";"ESCENARIO"
23;"F";"Vesícula biliar";"792";"636";"973";"9.32749909257095";"7.49026442282213";"11.4591623952923";"2.75717401069158";"2.21162196058396";"3.38953065277318";"4.22996804984491";"3.40727612588404";"5.18075586286591";"6.98863224301346";"5.63905129054817";"8.54763889183097";"B"
25;"F";"Páncreas";"1527.25";"1277";"1816";"17.9866451882942";"15.0394145722388";"21.3872958991273";"5.30929001829833";"4.46572461170503";"6.27917652528705";"8.13856582779606";"6.86519062757596";"9.6025786155979";"13.4215486223351";"11.3101709288861";"15.851637255955";"A"
32;"F";"Laringe";"178.325143420535";"115.421722164823";"269.033886894564";"2.10016112807781";"1.35933839489314";"3.16845118166652";"1.03258559651655";"0.652818725617817";"1.57481180373882";"1.39758847576501";"0.892655952426818";"2.11908817070713";"1.86140102373071";"1.19999574182599";"2.80630151092262";"LDA"
34;"F";"Pulmón";"2471.75";"1987";"3029";"29.1101589419978";"23.4011877486597";"35.6729731709563";"10.4608104711284";"8.50450521676375";"12.7078107260918";"15.2038042515298";"12.378853280539";"18.4622889657996";"23.0966906257262";"18.7394810658161";"28.1183861957738";"A"
43;"F";"Melanoma de piel";"2164.5";"1526";"3024";"25.4916310427649";"17.9719237566455";"35.6140874443618";"16.2373439748139";"11.3195330849222";"22.8631012939257";"20.5780281417833";"14.3760706697945";"28.9427573858019";"24.3807765224126";"17.150942519214";"34.1108854451344";"A"
50;"F";"Mama";"16575.8571088556";"14371.1125041637";"19117.5277464484";"195.216277956359";"169.250680355836";"225.149902408077";"107.85711491604";"93.5497972904429";"124.402340535123";"139.153428439356";"120.695454899467";"160.463137777822";"176.030739172101";"152.845873023889";"202.805327495459";"LDA"
53;"F";"Cérvix Uterino";"877";"754";"1014";"10.3285564446777";"8.87996757045265";"11.9420253533674";"7.61070818154111";"6.49156496216563";"8.85756433282999";"9.07811337786032";"7.76615329923376";"10.5429433102584";"10.1522906506585";"8.7187297504431";"11.7493612256141";"A"
54;"F";"Cuerpo Uterino";"4008";"3169.4875";"5016.0125";"47.2027984381621";"37.3275148739457";"59.0743081339325";"19.8773219442526";"15.6925736241106";"24.9212464787981";"28.3090089848162";"22.4270822924015";"35.3984047439598";"39.9095466061769";"31.7131761956088";"49.7938706844009";"A"
56;"F";"Ovario";"1726";"1487";"1995";"20.3273528204261";"17.5126150892083";"23.4954049112109";"11.1070382765531";"9.51190844761693";"12.9005602856646";"14.7266883579757";"12.6375438803692";"17.0790599446123";"18.5563179307634";"15.9899561171092";"21.4540644242877";"A"
64;"F";"Riñón";"1627";"1108.4875";"2326.5125";"19.1614154338547";"13.0548183716872";"27.3996757987436";"7.63746276351298";"5.25224900971943";"10.8693394420576";"11.056560768441";"7.61023560973194";"15.7288517844146";"15.9271166847438";"10.9781835776206";"22.6292615127675";"B"
67;"F";"Vejiga urinaria";"6644.25";"4568.4875";"9444.5375";"78.2502977851194";"53.8037411750906";"111.229690607326";"31.6668096565211";"21.4218990490094";"45.4591349992505";"45.5272007390456";"31.1378076387987";"64.9852339974119";"65.8554254777594";"45.4177958091904";"93.4621615056661";"B"
71;"F";"Encéfalo y sistema nervioso";"894";"672.4875";"1169.0125";"10.528767915099";"7.91998301264559";"13.7676300921138";"4.98292328949245";"3.70718666696907";"6.57107804703006";"6.8982681077029";"5.15481479566309";"9.06958408430841";"9.33956202581843";"7.01288164587791";"12.2299897279494";"A"
73;"F";"Tiroides";"1401.61659472142";"930.360984236138";"2071.19227461926";"16.5070423174198";"10.9569965103864";"24.3927324015797";"11.4985641935177";"7.44086862287305";"17.2424721815489";"13.6073879559601";"8.82997973545429";"20.3642197071357";"15.6788579801631";"10.3316789127189";"23.2469466068497";"LDA"
81;"F";"Linfoma de Hodgkin";"277.431269777655";"156.034447042358";"486.330410413806";"3.26734838017914";"1.83764035757248";"5.72758391644498";"2.09345425392442";"1.13260906068516";"3.75866030934514";"2.56027151357724";"1.38517629029223";"4.59783733920125";"3.08070837018649";"1.7046502763829";"5.45608544271216";"LDA"
82;"F";"Linfomas no hodgkinianos";"2256";"1788";"2808.0125";"26.5692398394445";"21.0575358301981";"33.0703712697953";"11.1911121809278";"8.83666240424689";"13.9802488586075";"16.0967873744477";"12.7457996738476";"20.0602591653568";"22.753255950397";"18.0826662626609";"28.2803476455032";"A"
90;"F";"Mieloma";"1043";"855";"1252.025";"12.2835625676155";"10.0694592476618";"14.7452803678991";"3.84530919849098";"3.15865972897127";"4.61191405608207";"5.79898038828824";"4.78202003950846";"6.93156288913519";"9.35968311660381";"7.71946824736689";"11.178683322141";"A"
91;"F";"Leucemias";"1224";"1024.9875";"1449";"14.4152258703369";"12.0714267375588";"17.06508356709";"5.97944703969779";"4.98582999379209";"7.11753040942396";"8.57211793244321";"7.16798546051001";"10.176884292746";"12.1287718323597";"10.1819883889521";"14.344867175538";"A"
99;"F";"Otros";"2259";"1944";"2620";"26.6045712754012";"22.8947704999469";"30.8561207355251";"11.0793495126233";"9.53699482396016";"12.8413380823553";"15.714125844045";"13.5518810858313";"18.1883462566333";"22.2534843671944";"19.215764136052";"25.7316751630141";"A"
100;"F";"Todos, excepto de piel no melanoma";"61731.9801167752";"58038.6674190071";"66299.9240218353";"727.026500658875";"683.529820309111";"780.823839837363";"331.787031521464";"311.089232680016";"357.336655436674";"453.473909115368";"425.769902673929";"487.744603908605";"620.915617002927";"583.863726269523";"666.813107866464";"Especial"
